_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,provide_list_of_diseases_or_conditions,atc,dailymed_url,drug_name,drugbank_id,expected_indications,number,provide_list_of_diseases_or_conditions_gold,text,worker_indications
1243634412,5/19/2017 8:34,FALSE,2566756274,,5/19/2017 8:25,FALSE,elite,1,35271549,VNM,44,Hanoi,113.23.26.96,non-hyperkeratotic actinic keratoses,L01XD03,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d02af310-d097-4886-86e5-adcf6bca0533,METHYL AMINOLEVULINATE,DB00992,"Non-hyperkeratotic actinic keratoses of the face,
Non-hyperkeratotic actinic keratoses of the scalp
",1,,Metvixia Cream in combination with 570 to 670 nm wavelength red light illumination using the CureLight BroadBand Model CureLight 01 lamp is indicated for treatment of non-hyperkeratotic actinic keratoses of the face and scalp in immunocompetent patients when used in conjunction with lesion preparation (debridement using a sharp dermal curette) in the physician’s office when other therapies are unacceptable or considered medically less appropriate.,
1243634412,5/19/2017 8:41,FALSE,2566766664,,5/19/2017 8:25,FALSE,clixsense,1,35328452,CZE,80,Nove Mesto Na Morave,84.21.111.251,non-hyperkeratotic actinic keratoses,L01XD03,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d02af310-d097-4886-86e5-adcf6bca0533,METHYL AMINOLEVULINATE,DB00992,"Non-hyperkeratotic actinic keratoses of the face,
Non-hyperkeratotic actinic keratoses of the scalp
",1,,Metvixia Cream in combination with 570 to 670 nm wavelength red light illumination using the CureLight BroadBand Model CureLight 01 lamp is indicated for treatment of non-hyperkeratotic actinic keratoses of the face and scalp in immunocompetent patients when used in conjunction with lesion preparation (debridement using a sharp dermal curette) in the physician’s office when other therapies are unacceptable or considered medically less appropriate.,
1243634412,5/19/2017 8:54,FALSE,2566783750,,5/19/2017 8:25,FALSE,neodev,1,35106785,VEN,25,Caracas,201.208.194.85,"non-hyperkeratotic actinic keratoses of the face
non-hyperkeratotic actinic keratoses of scalp",L01XD03,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d02af310-d097-4886-86e5-adcf6bca0533,METHYL AMINOLEVULINATE,DB00992,"Non-hyperkeratotic actinic keratoses of the face,
Non-hyperkeratotic actinic keratoses of the scalp
",1,,Metvixia Cream in combination with 570 to 670 nm wavelength red light illumination using the CureLight BroadBand Model CureLight 01 lamp is indicated for treatment of non-hyperkeratotic actinic keratoses of the face and scalp in immunocompetent patients when used in conjunction with lesion preparation (debridement using a sharp dermal curette) in the physician’s office when other therapies are unacceptable or considered medically less appropriate.,
1243634413,5/19/2017 8:38,FALSE,2566763333,,5/19/2017 8:25,FALSE,neodev,1,42387103,USA,FL,Miami,23.27.45.116,"axillary lymph node involvement
breast cancer
acute lymphoblastic leukemia
acute myeloblastic leukemia
Hodgkin lymphoma
non-Hodgkin lymphoma
metastatic breast cancer
metastatic Wilms’ tumor
metastatic neuroblastoma
metastatic soft tissue  sarcoma
metastatic bone sarcoma
metastatic ovarian  carcinoma
metastatic transitional cell bladder carcinoma
metastatic thyroid carcinoma
metastatic gastric carcinoma",L01DB01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d928625e-c1ef-4f25-8d25-764c8c6aab67,DOXORUBICIN,DB00997,"Axillary lymph node involvement, Axillary lymph node involvement following resection of primary breast cancer, Acute lymphoblastic leukemia, Acute myeloblastic leukemia, Hodgkin’s lymphoma, Non-Hodgkin’s lymphoma, Metastatic breast cancer, Metastatic Wilms’ tumor, Metastatic neuroblastoma, Metastatic soft tissue sarcoma, Metastatic bone sarcoma, Metastatic ovarian carcinoma, Metastatic transitional cell bladder carcinoma, Metastatic thyroid carcinoma, Metastatic gastric carcinoma, Metastatic bronchogenic carcinoma",2,,"1.1 Adjuvant Breast Cancer
Doxorubicin HCl for injection is indicated as a component of multi-agent adjuvant chemotherapy for treatment of women with axillary lymph node involvement following resection of primary breast cancer.
1.2 Other Cancers
Doxorubicin HCl for injection is indicated for the treatment of:
acute lymphoblastic leukemia
acute myeloblastic leukemia
Hodgkin lymphoma
non-Hodgkin lymphoma (NHL)
metastatic breast cancer
metastatic Wilms’ tumor
metastatic neuroblastoma
metastatic soft tissue sarcoma
metastatic bone sarcoma
metastatic ovarian carcinoma
metastatic transitional cell bladder carcinoma
metastatic thyroid carcinoma
metastatic gastric carcinoma
metastatic bronchogenic carcinoma
",
1243634413,5/19/2017 8:49,FALSE,2566777002,,5/19/2017 8:40,FALSE,elite,1,35271549,VNM,44,Hanoi,113.23.26.96,Breast Cancer,L01DB01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d928625e-c1ef-4f25-8d25-764c8c6aab67,DOXORUBICIN,DB00997,"Axillary lymph node involvement, Axillary lymph node involvement following resection of primary breast cancer, Acute lymphoblastic leukemia, Acute myeloblastic leukemia, Hodgkin’s lymphoma, Non-Hodgkin’s lymphoma, Metastatic breast cancer, Metastatic Wilms’ tumor, Metastatic neuroblastoma, Metastatic soft tissue sarcoma, Metastatic bone sarcoma, Metastatic ovarian carcinoma, Metastatic transitional cell bladder carcinoma, Metastatic thyroid carcinoma, Metastatic gastric carcinoma, Metastatic bronchogenic carcinoma",2,,"1.1 Adjuvant Breast Cancer
Doxorubicin HCl for injection is indicated as a component of multi-agent adjuvant chemotherapy for treatment of women with axillary lymph node involvement following resection of primary breast cancer.
1.2 Other Cancers
Doxorubicin HCl for injection is indicated for the treatment of:
acute lymphoblastic leukemia
acute myeloblastic leukemia
Hodgkin lymphoma
non-Hodgkin lymphoma (NHL)
metastatic breast cancer
metastatic Wilms’ tumor
metastatic neuroblastoma
metastatic soft tissue sarcoma
metastatic bone sarcoma
metastatic ovarian carcinoma
metastatic transitional cell bladder carcinoma
metastatic thyroid carcinoma
metastatic gastric carcinoma
metastatic bronchogenic carcinoma
",
1243634413,5/19/2017 9:12,FALSE,2566806734,,5/19/2017 8:54,FALSE,clixsense,1,35328452,CZE,80,Nove Mesto Na Morave,84.21.111.251,"Adjuvant Breast Cancer
adjuvant chemotherapy
primary breast cancer
acute lymphoblastic leukemia
acute myeloblastic leukemia
Hodgkin lymphoma
non-Hodgkin lymphoma (NHL)
metastatic breast cancer
metastatic Wilms’ tumor
metastatic neuroblastoma
metastatic soft tissue sarcoma
metastatic bone sarcoma
metastatic ovarian carcinoma
metastatic transitional cell bladder carcinoma
metastatic thyroid carcinoma
metastatic gastric carcinoma
metastatic bronchogenic carcinoma",L01DB01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d928625e-c1ef-4f25-8d25-764c8c6aab67,DOXORUBICIN,DB00997,"Axillary lymph node involvement, Axillary lymph node involvement following resection of primary breast cancer, Acute lymphoblastic leukemia, Acute myeloblastic leukemia, Hodgkin’s lymphoma, Non-Hodgkin’s lymphoma, Metastatic breast cancer, Metastatic Wilms’ tumor, Metastatic neuroblastoma, Metastatic soft tissue sarcoma, Metastatic bone sarcoma, Metastatic ovarian carcinoma, Metastatic transitional cell bladder carcinoma, Metastatic thyroid carcinoma, Metastatic gastric carcinoma, Metastatic bronchogenic carcinoma",2,,"1.1 Adjuvant Breast Cancer
Doxorubicin HCl for injection is indicated as a component of multi-agent adjuvant chemotherapy for treatment of women with axillary lymph node involvement following resection of primary breast cancer.
1.2 Other Cancers
Doxorubicin HCl for injection is indicated for the treatment of:
acute lymphoblastic leukemia
acute myeloblastic leukemia
Hodgkin lymphoma
non-Hodgkin lymphoma (NHL)
metastatic breast cancer
metastatic Wilms’ tumor
metastatic neuroblastoma
metastatic soft tissue sarcoma
metastatic bone sarcoma
metastatic ovarian carcinoma
metastatic transitional cell bladder carcinoma
metastatic thyroid carcinoma
metastatic gastric carcinoma
metastatic bronchogenic carcinoma
",
1243634414,5/19/2017 8:34,FALSE,2566756278,,5/19/2017 8:25,FALSE,elite,1,35271549,VNM,44,Hanoi,113.23.26.96,chronic myelogenous leukemia,L01AB01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=03dc50f9-c7bd-4c0c-8bbb-c1216ec90c95,BUSULFAN,DB01008,Chronic myelogenous leukemia,3,,BUSULFEX® (busulfan) Injection is indicated for use in combination with cyclophosphamide as a conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation for chronic myelogenous leukemia.,
1243634414,5/19/2017 8:41,FALSE,2566766639,,5/19/2017 8:25,FALSE,clixsense,1,35328452,CZE,80,Nove Mesto Na Morave,84.21.111.251,chronic myelogenous leukemia,L01AB01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=03dc50f9-c7bd-4c0c-8bbb-c1216ec90c95,BUSULFAN,DB01008,Chronic myelogenous leukemia,3,,BUSULFEX® (busulfan) Injection is indicated for use in combination with cyclophosphamide as a conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation for chronic myelogenous leukemia.,
1243634414,5/19/2017 8:54,FALSE,2566783759,,5/19/2017 8:25,FALSE,neodev,1,35106785,VEN,25,Caracas,201.208.194.85,chronic myelogenous leukemia,L01AB01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=03dc50f9-c7bd-4c0c-8bbb-c1216ec90c95,BUSULFAN,DB01008,Chronic myelogenous leukemia,3,,BUSULFEX® (busulfan) Injection is indicated for use in combination with cyclophosphamide as a conditioning regimen prior to allogeneic hematopoietic progenitor cell transplantation for chronic myelogenous leukemia.,
1243634415,5/19/2017 8:38,FALSE,2566763329,,5/19/2017 8:25,FALSE,neodev,1,42387103,USA,FL,Miami,23.27.45.116,"IV-B  carcinoma of the cervix
recurrent carcinoma of the cervix
persistent carcinoma of the cervix",L01XX17,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=715620fb-614f-40b6-8d3d-8494843d8518,TOPOTECAN,DB01030,"Small cell lung cancer, Small cell lung cancer sensitive disease, Stage IV-B carcinoma of the cervix, Recurrent carcinoma of the cervix, Persistent carcinoma of the cervix
",4,,"Topotecan Hydrochloride for Injection is indicated for the treatment of:
small cell lung cancer sensitive disease after failure of first-line chemotherapy. In clinical studies submitted to support approval, sensitive disease was defined as disease responding to chemotherapy but subsequently progressing at least 60 days (in the Phase 3 study) or at least 90 days (in the Phase 2 studies) after chemotherapy. [see Clinical Studies (14)].
Topotecan Hydrochloride for Injection in combination with cisplatin is indicated for the treatment of:
stage IV-B, recurrent, or persistent carcinoma of the cervix which is not amendable to curative treatment with surgery and/or radiation therapy.
",
1243634415,5/19/2017 8:49,FALSE,2566777001,,5/19/2017 8:40,FALSE,elite,1,35271549,VNM,44,Hanoi,113.23.26.96,lung cancer,L01XX17,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=715620fb-614f-40b6-8d3d-8494843d8518,TOPOTECAN,DB01030,"Small cell lung cancer, Small cell lung cancer sensitive disease, Stage IV-B carcinoma of the cervix, Recurrent carcinoma of the cervix, Persistent carcinoma of the cervix
",4,,"Topotecan Hydrochloride for Injection is indicated for the treatment of:
small cell lung cancer sensitive disease after failure of first-line chemotherapy. In clinical studies submitted to support approval, sensitive disease was defined as disease responding to chemotherapy but subsequently progressing at least 60 days (in the Phase 3 study) or at least 90 days (in the Phase 2 studies) after chemotherapy. [see Clinical Studies (14)].
Topotecan Hydrochloride for Injection in combination with cisplatin is indicated for the treatment of:
stage IV-B, recurrent, or persistent carcinoma of the cervix which is not amendable to curative treatment with surgery and/or radiation therapy.
",
1243634415,5/19/2017 9:12,FALSE,2566806737,,5/19/2017 8:54,FALSE,clixsense,1,35328452,CZE,80,Nove Mesto Na Morave,84.21.111.251,"cell lung cancer
chemotherapy
stage IV-B recurrent carcinoma
stage IV-B persistent carcinoma",L01XX17,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=715620fb-614f-40b6-8d3d-8494843d8518,TOPOTECAN,DB01030,"Small cell lung cancer, Small cell lung cancer sensitive disease, Stage IV-B carcinoma of the cervix, Recurrent carcinoma of the cervix, Persistent carcinoma of the cervix
",4,,"Topotecan Hydrochloride for Injection is indicated for the treatment of:
small cell lung cancer sensitive disease after failure of first-line chemotherapy. In clinical studies submitted to support approval, sensitive disease was defined as disease responding to chemotherapy but subsequently progressing at least 60 days (in the Phase 3 study) or at least 90 days (in the Phase 2 studies) after chemotherapy. [see Clinical Studies (14)].
Topotecan Hydrochloride for Injection in combination with cisplatin is indicated for the treatment of:
stage IV-B, recurrent, or persistent carcinoma of the cervix which is not amendable to curative treatment with surgery and/or radiation therapy.
",
1243634416,5/19/2017 8:34,FALSE,2566756266,,5/19/2017 8:25,FALSE,elite,1,35271549,VNM,44,Hanoi,113.23.26.96,"multiple myeloma
epithelial carcinoma",L01AA03,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5bc0a79d-eb07-9685-8e98-4f1979b84a48,MELPHALAN,DB01042,"Multiple myeloma, Non-resectable epithelial carcinoma of the ovary
",5,,Melphalan Tablets USP are indicated for the palliative treatment of multiple myeloma and for the palliation of non-resectable epithelial carcinoma of the ovary.,
1243634416,5/19/2017 8:41,FALSE,2566766646,,5/19/2017 8:25,FALSE,clixsense,1,35328452,CZE,80,Nove Mesto Na Morave,84.21.111.251,"myeloma
epithelial carcinoma of the ovary",L01AA03,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5bc0a79d-eb07-9685-8e98-4f1979b84a48,MELPHALAN,DB01042,"Multiple myeloma, Non-resectable epithelial carcinoma of the ovary
",5,,Melphalan Tablets USP are indicated for the palliative treatment of multiple myeloma and for the palliation of non-resectable epithelial carcinoma of the ovary.,
1243634416,5/19/2017 8:54,FALSE,2566783748,,5/19/2017 8:25,FALSE,neodev,1,35106785,VEN,25,Caracas,201.208.194.85,"multiple myeloma
non-resectable epithelial carcinoma of the ovary",L01AA03,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5bc0a79d-eb07-9685-8e98-4f1979b84a48,MELPHALAN,DB01042,"Multiple myeloma, Non-resectable epithelial carcinoma of the ovary
",5,,Melphalan Tablets USP are indicated for the palliative treatment of multiple myeloma and for the palliation of non-resectable epithelial carcinoma of the ovary.,
1243634417,5/19/2017 8:38,FALSE,2566763327,,5/19/2017 8:25,FALSE,neodev,1,42387103,USA,FL,Miami,23.27.45.116,B-cell chronic lymphocytic leukemia,L01BB05,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f1ffd18c-9f6b-4479-94b9-6890bc730ecc,FLUDARABINE,DB01073,B-cell chronic lymphocytic leukemia,6,,"Fludarabine Phosphate for Injection, USP is indicated for the treatment of patients with B-cell chronic lymphocytic leukemia (CLL) who have not responded to or whose disease has progressed during treatment with at least one standard alkylating-agent containing regimen.  The safety and effectiveness of Fludarabine Phosphate for Injection, USP in previously untreated or non-refractory patients with CLL have not been established.",
1243634417,5/19/2017 8:49,FALSE,2566777000,,5/19/2017 8:40,FALSE,elite,1,35271549,VNM,44,Hanoi,113.23.26.96,patients with B-cell chronic lymphocytic leukemia,L01BB05,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f1ffd18c-9f6b-4479-94b9-6890bc730ecc,FLUDARABINE,DB01073,B-cell chronic lymphocytic leukemia,6,,"Fludarabine Phosphate for Injection, USP is indicated for the treatment of patients with B-cell chronic lymphocytic leukemia (CLL) who have not responded to or whose disease has progressed during treatment with at least one standard alkylating-agent containing regimen.  The safety and effectiveness of Fludarabine Phosphate for Injection, USP in previously untreated or non-refractory patients with CLL have not been established.",
1243634417,5/19/2017 9:12,FALSE,2566806715,,5/19/2017 8:54,FALSE,clixsense,1,35328452,CZE,80,Nove Mesto Na Morave,84.21.111.251,B-cell chronic lymphocytic leukemia (CLL),L01BB05,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f1ffd18c-9f6b-4479-94b9-6890bc730ecc,FLUDARABINE,DB01073,B-cell chronic lymphocytic leukemia,6,,"Fludarabine Phosphate for Injection, USP is indicated for the treatment of patients with B-cell chronic lymphocytic leukemia (CLL) who have not responded to or whose disease has progressed during treatment with at least one standard alkylating-agent containing regimen.  The safety and effectiveness of Fludarabine Phosphate for Injection, USP in previously untreated or non-refractory patients with CLL have not been established.",
1243634418,5/19/2017 8:34,FALSE,2566756271,,5/19/2017 8:25,FALSE,elite,1,35271549,VNM,44,Hanoi,113.23.26.96,"Colorectal Cancer
Breast Cancer",L01BC06,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=30830d24-1421-4c25-9b6b-c15705aa4357,CAPECITABINE,DB01101,"Colorectal Cancer, Dukes’ C colon cancer, Metastatic colorectal carcinoma, Breast Cancer, Metastatic breast cancer
",7,,"1.1 Colorectal Cancer
Capecitabine tablets are indicated as a single agent for adjuvant treatment in patients with Dukes’ C colon cancer who have undergone complete resection of the primary tumor when treatment with fluoropyrimidine therapy alone is preferred. Capecitabine tablets were non-inferior to 5-fluorouracil and leucovorin (5-FU/LV) for disease-free survival (DFS). Physicians should consider results of combination chemotherapy trials, which have shown improvement in DFS and OS, when prescribing single-agent capecitabine tablets in the adjuvant treatment of Dukes’ C colon cancer.
Capecitabine tablets are indicated as first-line treatment of patients with metastatic colorectal carcinoma when treatment with fluoropyrimidine therapy alone is preferred. Combination chemotherapy has shown a survival benefit compared to 5-FU/LV alone. A survival benefit over 5-FU/LV has not been demonstrated with capecitabine tablets monotherapy. Use of capecitabine tablets instead of 5-FU/LV in combinations has not been adequately studied to assure safety or preservation of the survival advantage.
1.2 Breast Cancer
Capecitabine tablets in combination with docetaxel are indicated for the treatment of patients with metastatic breast cancer after failure of prior anthracycline-containing chemotherapy.
Capecitabine tablets monotherapy is also indicated for the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen or resistant to paclitaxel and for whom further anthracycline therapy is not indicated (e.g., patients who have received cumulative doses of 400 mg/m2 of doxorubicin or doxorubicin equivalents). Resistance is defined as progressive disease while on treatment, with or without an initial response, or relapse within 6 months of completing treatment with an anthracycline-containing adjuvant regimen.
",
1243634418,5/19/2017 8:41,FALSE,2566766636,,5/19/2017 8:25,FALSE,clixsense,1,35328452,CZE,80,Nove Mesto Na Morave,84.21.111.251,"Colorectal Cancer
Dukes’ C colon cancer
metastatic breast cancer",L01BC06,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=30830d24-1421-4c25-9b6b-c15705aa4357,CAPECITABINE,DB01101,"Colorectal Cancer, Dukes’ C colon cancer, Metastatic colorectal carcinoma, Breast Cancer, Metastatic breast cancer
",7,,"1.1 Colorectal Cancer
Capecitabine tablets are indicated as a single agent for adjuvant treatment in patients with Dukes’ C colon cancer who have undergone complete resection of the primary tumor when treatment with fluoropyrimidine therapy alone is preferred. Capecitabine tablets were non-inferior to 5-fluorouracil and leucovorin (5-FU/LV) for disease-free survival (DFS). Physicians should consider results of combination chemotherapy trials, which have shown improvement in DFS and OS, when prescribing single-agent capecitabine tablets in the adjuvant treatment of Dukes’ C colon cancer.
Capecitabine tablets are indicated as first-line treatment of patients with metastatic colorectal carcinoma when treatment with fluoropyrimidine therapy alone is preferred. Combination chemotherapy has shown a survival benefit compared to 5-FU/LV alone. A survival benefit over 5-FU/LV has not been demonstrated with capecitabine tablets monotherapy. Use of capecitabine tablets instead of 5-FU/LV in combinations has not been adequately studied to assure safety or preservation of the survival advantage.
1.2 Breast Cancer
Capecitabine tablets in combination with docetaxel are indicated for the treatment of patients with metastatic breast cancer after failure of prior anthracycline-containing chemotherapy.
Capecitabine tablets monotherapy is also indicated for the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen or resistant to paclitaxel and for whom further anthracycline therapy is not indicated (e.g., patients who have received cumulative doses of 400 mg/m2 of doxorubicin or doxorubicin equivalents). Resistance is defined as progressive disease while on treatment, with or without an initial response, or relapse within 6 months of completing treatment with an anthracycline-containing adjuvant regimen.
",
1243634418,5/19/2017 8:54,FALSE,2566783754,,5/19/2017 8:25,FALSE,neodev,1,35106785,VEN,25,Caracas,201.208.194.85,"Colorectal Cancer
Dukes’ C colon cancer
metastatic colorectal carcinoma
Breast Cancer",L01BC06,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=30830d24-1421-4c25-9b6b-c15705aa4357,CAPECITABINE,DB01101,"Colorectal Cancer, Dukes’ C colon cancer, Metastatic colorectal carcinoma, Breast Cancer, Metastatic breast cancer
",7,,"1.1 Colorectal Cancer
Capecitabine tablets are indicated as a single agent for adjuvant treatment in patients with Dukes’ C colon cancer who have undergone complete resection of the primary tumor when treatment with fluoropyrimidine therapy alone is preferred. Capecitabine tablets were non-inferior to 5-fluorouracil and leucovorin (5-FU/LV) for disease-free survival (DFS). Physicians should consider results of combination chemotherapy trials, which have shown improvement in DFS and OS, when prescribing single-agent capecitabine tablets in the adjuvant treatment of Dukes’ C colon cancer.
Capecitabine tablets are indicated as first-line treatment of patients with metastatic colorectal carcinoma when treatment with fluoropyrimidine therapy alone is preferred. Combination chemotherapy has shown a survival benefit compared to 5-FU/LV alone. A survival benefit over 5-FU/LV has not been demonstrated with capecitabine tablets monotherapy. Use of capecitabine tablets instead of 5-FU/LV in combinations has not been adequately studied to assure safety or preservation of the survival advantage.
1.2 Breast Cancer
Capecitabine tablets in combination with docetaxel are indicated for the treatment of patients with metastatic breast cancer after failure of prior anthracycline-containing chemotherapy.
Capecitabine tablets monotherapy is also indicated for the treatment of patients with metastatic breast cancer resistant to both paclitaxel and an anthracycline-containing chemotherapy regimen or resistant to paclitaxel and for whom further anthracycline therapy is not indicated (e.g., patients who have received cumulative doses of 400 mg/m2 of doxorubicin or doxorubicin equivalents). Resistance is defined as progressive disease while on treatment, with or without an initial response, or relapse within 6 months of completing treatment with an anthracycline-containing adjuvant regimen.
",
1243634419,5/19/2017 8:34,FALSE,2566756270,,5/19/2017 8:25,FALSE,elite,1,35271549,VNM,44,Hanoi,113.23.26.96,Hodgkin's disease,L01XB01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de1c8271-64d8-4ea5-85e8-871faa4d7632,procarbazine,DB01168,"Stage III Hodgkin’s disease, Stage IV Hodgkin’s disease
",8,,"Matulane is indicated for use in combination with other anticancer drugs for the treatment of Stage III and IV Hodgkin's disease. Matulane is used as part of the MOPP (nitrogen mustard, vincristine, procarbazine, prednisone) regimen.",
1243634419,5/19/2017 8:41,FALSE,2566766650,,5/19/2017 8:25,FALSE,clixsense,1,35328452,CZE,80,Nove Mesto Na Morave,84.21.111.251,"Stage III Hodgkin's disease
Stage IV Hodgkin's disease",L01XB01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de1c8271-64d8-4ea5-85e8-871faa4d7632,procarbazine,DB01168,"Stage III Hodgkin’s disease, Stage IV Hodgkin’s disease
",8,,"Matulane is indicated for use in combination with other anticancer drugs for the treatment of Stage III and IV Hodgkin's disease. Matulane is used as part of the MOPP (nitrogen mustard, vincristine, procarbazine, prednisone) regimen.",
1243634419,5/19/2017 8:54,FALSE,2566783745,,5/19/2017 8:25,FALSE,neodev,1,35106785,VEN,25,Caracas,201.208.194.85,"Hodgkin's disease III
Hodgkin's disease IV",L01XB01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de1c8271-64d8-4ea5-85e8-871faa4d7632,procarbazine,DB01168,"Stage III Hodgkin’s disease, Stage IV Hodgkin’s disease
",8,,"Matulane is indicated for use in combination with other anticancer drugs for the treatment of Stage III and IV Hodgkin's disease. Matulane is used as part of the MOPP (nitrogen mustard, vincristine, procarbazine, prednisone) regimen.",
