atc,name,dc_code,other_code,dc_name,other_name,random,path,cdist,res,jcn,lin,wup,lch,nam
C01EB18,"ranolazine                                                                                                                                                                                                                                                ",C0002962,C0340288,?,?,0.0,0.5,0.5,4.1924,-1.0,-1.0,0.8966,2.9957,0.2181
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0020538,?,?,0.0,0.25,0.25,2.2229,0.3668,0.6199,0.7368,2.3026,0.1738
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0002994,?,?,0.0,0.25,0.25,2.2229,0.2203,0.4948,0.7368,2.3026,0.1738
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0264716,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0262428,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C1997351,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C0001824,?,?,0.0,0.1,0.1,0.9555,0.1555,0.2291,0.4762,1.3863,0.138
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0038454,C1565489,?,?,0.0,0.1111,0.1111,0.9555,0.1717,0.247,0.5,1.4917,0.1409
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0038454,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0020538,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0002994,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0262428,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C1997351,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C0001824,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C0264716,C1565489,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0038454,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0020538,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0002994,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0264716,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0262428,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C0001824,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09AA05,"ramipril                                                                                                                                                                                                                                                  ",C1997351,C1565489,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C07AG01,"labetalol                                                                                                                                                                                                                                                 ",C0020538,C1753303,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C07AG01,"labetalol                                                                                                                                                                                                                                                 ",C0020538,C4013784,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0039232,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0085612,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0741292,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0039240,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0235480,C0004238,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0039232,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0235480,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0085612,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0039240,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0741292,C0004238,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0039232,?,?,0.0,0.2,0.2,3.4313,0.296,0.6701,0.7273,2.0794,0.1679
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0235480,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0085612,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0741292,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C01BC04,"flecainide                                                                                                                                                                                                                                                ",C0004238,C0039240,?,?,0.0,0.25,0.25,3.4313,0.3693,0.7171,0.7619,2.3026,0.1772
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C0018801,?,?,0.0,0.1429,0.1429,0.9555,0.1625,0.237,0.5556,1.743,0.1483
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C0020538,?,?,0.0,0.1429,0.1429,0.9555,0.1799,0.2558,0.5556,1.743,0.1483
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C1514284,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C03DB01,"amiloride                                                                                                                                                                                                                                                 ",C0013604,C0018802,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0038454,?,?,0.0,0.1111,0.1111,0.9555,0.1495,0.2222,0.5,1.4917,0.1409
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0020538,?,?,0.0,0.125,0.125,0.9555,0.1579,0.2318,0.5263,1.6094,0.1443
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0027051,?,?,0.0,0.1111,0.1111,0.9555,0.1488,0.2214,0.5,1.4917,0.1409
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0033687,?,?,0.0,0.2,0.2,2.8716,0.2844,0.6203,0.7273,2.0794,0.1649
C09CA04,"irbesartan                                                                                                                                                                                                                                                ",C0011881,C0007820,?,?,0.0,0.125,0.125,0.9555,0.1559,0.2296,0.5263,1.6094,0.1443
L01DB03,"epirubicin                                                                                                                                                                                                                                                ",C0678222,C2216708,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342907,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0020474,?,?,0.0,0.5,0.5,4.231,0.4945,0.8071,0.8696,2.9957,0.2242
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C2047520,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0020443,?,?,0.0,0.5,0.5,4.231,2.3401,0.9519,0.8696,2.9957,0.2242
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0020445,?,?,0.0,0.3333,0.3333,4.231,0.7538,0.8645,0.8333,2.5903,0.2
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0002940,?,?,0.0,0.1111,0.1111,0.9555,0.1658,0.2407,0.5,1.4917,0.1409
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0333482,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0752130,?,?,0.0,0.1,0.1,0.9555,0.1215,0.1885,0.4762,1.3863,0.138
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0004153,?,?,0.0,0.0909,0.0909,0.9555,0.1519,0.225,0.4545,1.291,0.1354
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342881,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0752127,?,?,0.0,0.1111,0.1111,0.9555,0.1217,0.1887,0.5,1.4917,0.1409
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0020473,C0342882,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0342907,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020474,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C2047520,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020443,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020445,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0002940,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0333482,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0752130,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0020473,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0004153,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0752127,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342881,C0342882,?,?,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
C10AX09,"ezetimibe                                                                                                                                                                                                                                                 ",C0342907,C0020474,?,?,0.0,-1.0,-1.0,-